File Name;Tempo medio;Mediana;Deviazione;yerr
gcc_O1_exec_static_youtube_results.txt;0,019875;0,0155;0,012928259;0,002890846
gcc_O2_exec_auto_liveJournal_results.txt;0,065025;0,0639;0,004901759;0,001096067
gcc_O2_exec_auto_orkut_results.txt;0,19029;0,1882;0,008785149;0,001964419
gcc_O2_exec_auto_youtube_results.txt;0,01757;0,01275;0,014675834;0,003281616
gcc_O2_exec_dynamic_liveJournal_results.txt;0,07073;0,0644;0,01365924;0,003054299
gcc_O2_exec_dynamic_orkut_results.txt;0,20351;0,20245;0,022244074;0,004973926
gcc_O2_exec_dynamic_youtube_results.txt;0,01807;0,0137;0,010439253;0,002334288
gcc_O2_exec_guided_liveJournal_results.txt;0,06673;0,06425;0,00867629;0,001940077
gcc_O2_exec_guided_orkut_results.txt;0,180115;0,18105;0,004593505;0,001027139
gcc_O2_exec_guided_youtube_results.txt;0,017875;0,0133;0,009964615;0,002228156
gcc_O2_exec_static_liveJournal_results.txt;0,072175;0,0666;0,017545996;0,003923404
gcc_O2_exec_static_orkut_results.txt;0,176495;0,17675;0,00342598;0,000766073
gcc_O2_exec_static_youtube_results.txt;0,01727;0,01325;0,013698256;0,003063023
gcc_O3_exec_auto_liveJournal_results.txt;0,06245;0,06185;0,004530656;0,001013085
gcc_O3_exec_auto_orkut_results.txt;0,180535;0,17765;0,008248654;0,001844455
gcc_O3_exec_auto_youtube_results.txt;0,01715;0,01295;0,011941987;0,002670309
gcc_O3_exec_dynamic_liveJournal_results.txt;0,062615;0,06275;0,001607311;0,000359406
gcc_O3_exec_dynamic_orkut_results.txt;0,18845;0,18985;0,008497461;0,00190009
gcc_O3_exec_dynamic_youtube_results.txt;0,017565;0,01245;0,013460909;0,003009951
gcc_O3_exec_guided_liveJournal_results.txt;0,062305;0,0618;0,004472898;0,00100017
gcc_O3_exec_guided_orkut_results.txt;0,183995;0,18405;0,004317586;0,000965442
gcc_O3_exec_guided_youtube_results.txt;0,017365;0,0134;0,008686485;0,001942357
gcc_O3_exec_static_liveJournal_results.txt;0,06663;0,0621;0,01789293;0,004000981
gcc_O3_exec_static_orkut_results.txt;0,17914;0,174;0,015075578;0,003371002
gcc_O3_exec_static_youtube_results.txt;0,01772;0,0136;0,011642101;0,002603253
