File Name,Fourth Column Value
clang_O0_exec_dynamic_youtube_results.txt,0.0294
clang_O0_exec_dynamic_youtube_results.txt,0.0288
clang_O0_exec_dynamic_youtube_results.txt,0.0274
clang_O0_exec_dynamic_youtube_results.txt,0.0280
clang_O0_exec_dynamic_youtube_results.txt,0.0285
clang_O0_exec_guided_liveJournal_results.txt,0.1340
clang_O0_exec_guided_liveJournal_results.txt,0.1342
clang_O0_exec_guided_liveJournal_results.txt,0.1320
clang_O0_exec_guided_liveJournal_results.txt,0.1347
clang_O0_exec_guided_liveJournal_results.txt,0.1337
clang_O0_exec_guided_liveJournal_results.txt,0.1317
clang_O0_exec_guided_liveJournal_results.txt,0.1340
clang_O0_exec_guided_liveJournal_results.txt,0.1303
clang_O0_exec_guided_liveJournal_results.txt,0.1348
clang_O0_exec_guided_liveJournal_results.txt,0.1324
clang_O0_exec_guided_liveJournal_results.txt,0.1352
clang_O0_exec_guided_liveJournal_results.txt,0.1325
clang_O0_exec_guided_liveJournal_results.txt,0.2347
clang_O0_exec_guided_liveJournal_results.txt,0.1454
clang_O0_exec_guided_liveJournal_results.txt,0.1356
clang_O0_exec_guided_liveJournal_results.txt,0.1331
clang_O0_exec_guided_liveJournal_results.txt,0.1337
clang_O0_exec_guided_liveJournal_results.txt,0.1376
clang_O0_exec_guided_liveJournal_results.txt,0.1419
clang_O0_exec_guided_liveJournal_results.txt,0.1387
clang_O0_exec_guided_orkut_results.txt,0.3500
clang_O0_exec_guided_orkut_results.txt,0.3478
clang_O0_exec_guided_orkut_results.txt,0.3541
clang_O0_exec_guided_orkut_results.txt,0.3584
clang_O0_exec_guided_orkut_results.txt,0.3543
clang_O0_exec_guided_orkut_results.txt,0.3439
clang_O0_exec_guided_orkut_results.txt,0.3515
clang_O0_exec_guided_orkut_results.txt,0.3657
clang_O0_exec_guided_orkut_results.txt,0.3659
clang_O0_exec_guided_orkut_results.txt,0.3630
clang_O0_exec_guided_orkut_results.txt,0.3671
clang_O0_exec_guided_orkut_results.txt,0.3615
clang_O0_exec_guided_orkut_results.txt,0.3551
clang_O0_exec_guided_orkut_results.txt,0.3515
clang_O0_exec_guided_orkut_results.txt,0.3425
clang_O0_exec_guided_orkut_results.txt,0.3451
clang_O0_exec_guided_orkut_results.txt,0.3412
clang_O0_exec_guided_orkut_results.txt,0.3470
clang_O0_exec_guided_orkut_results.txt,0.3528
clang_O0_exec_guided_orkut_results.txt,0.3588
clang_O0_exec_guided_youtube_results.txt,0.0836
clang_O0_exec_guided_youtube_results.txt,0.0471
clang_O0_exec_guided_youtube_results.txt,0.0321
clang_O0_exec_guided_youtube_results.txt,0.0300
clang_O0_exec_guided_youtube_results.txt,0.0343
clang_O0_exec_guided_youtube_results.txt,0.0293
clang_O0_exec_guided_youtube_results.txt,0.0321
clang_O0_exec_guided_youtube_results.txt,0.0284
clang_O0_exec_guided_youtube_results.txt,0.0303
clang_O0_exec_guided_youtube_results.txt,0.0290
clang_O0_exec_guided_youtube_results.txt,0.0273
clang_O0_exec_guided_youtube_results.txt,0.0310
clang_O0_exec_guided_youtube_results.txt,0.0273
clang_O0_exec_guided_youtube_results.txt,0.0301
clang_O0_exec_guided_youtube_results.txt,0.0282
clang_O0_exec_guided_youtube_results.txt,0.0282
clang_O0_exec_guided_youtube_results.txt,0.0309
clang_O0_exec_guided_youtube_results.txt,0.0286
clang_O0_exec_guided_youtube_results.txt,0.0331
clang_O0_exec_guided_youtube_results.txt,0.0280
clang_O0_exec_static_liveJournal_results.txt,0.1339
clang_O0_exec_static_liveJournal_results.txt,0.1285
clang_O0_exec_static_liveJournal_results.txt,0.1327
clang_O0_exec_static_liveJournal_results.txt,0.1316
clang_O0_exec_static_liveJournal_results.txt,0.1317
clang_O0_exec_static_liveJournal_results.txt,0.1333
clang_O0_exec_static_liveJournal_results.txt,0.1345
clang_O0_exec_static_liveJournal_results.txt,0.1327
clang_O0_exec_static_liveJournal_results.txt,0.1331
clang_O0_exec_static_liveJournal_results.txt,0.1318
clang_O0_exec_static_liveJournal_results.txt,0.1319
clang_O0_exec_static_liveJournal_results.txt,0.1352
clang_O0_exec_static_liveJournal_results.txt,0.1306
clang_O0_exec_static_liveJournal_results.txt,0.1326
clang_O0_exec_static_liveJournal_results.txt,0.1323
clang_O0_exec_static_liveJournal_results.txt,0.1346
clang_O0_exec_static_liveJournal_results.txt,0.1341
clang_O0_exec_static_liveJournal_results.txt,0.1324
clang_O0_exec_static_liveJournal_results.txt,0.1341
clang_O0_exec_static_liveJournal_results.txt,0.1312
clang_O0_exec_static_orkut_results.txt,0.3658
clang_O0_exec_static_orkut_results.txt,0.3924
clang_O0_exec_static_orkut_results.txt,0.3532
clang_O0_exec_static_orkut_results.txt,0.3560
clang_O0_exec_static_orkut_results.txt,0.3587
clang_O0_exec_static_orkut_results.txt,0.3620
clang_O0_exec_static_orkut_results.txt,0.3598
clang_O0_exec_static_orkut_results.txt,0.3630
clang_O0_exec_static_orkut_results.txt,0.3596
clang_O0_exec_static_orkut_results.txt,0.3648
clang_O0_exec_static_orkut_results.txt,0.3607
clang_O0_exec_static_orkut_results.txt,0.3591
clang_O0_exec_static_orkut_results.txt,0.3578
clang_O0_exec_static_orkut_results.txt,0.3607
clang_O0_exec_static_orkut_results.txt,0.3521
clang_O0_exec_static_orkut_results.txt,0.3575
clang_O0_exec_static_orkut_results.txt,0.3621
clang_O0_exec_static_orkut_results.txt,0.3620
clang_O0_exec_static_orkut_results.txt,0.3628
clang_O0_exec_static_orkut_results.txt,0.3605
clang_O0_exec_static_youtube_results.txt,0.0555
clang_O0_exec_static_youtube_results.txt,0.0899
clang_O0_exec_static_youtube_results.txt,0.0272
clang_O0_exec_static_youtube_results.txt,0.0305
clang_O0_exec_static_youtube_results.txt,0.0286
clang_O0_exec_static_youtube_results.txt,0.0298
clang_O0_exec_static_youtube_results.txt,0.0286
clang_O0_exec_static_youtube_results.txt,0.0309
clang_O0_exec_static_youtube_results.txt,0.0384
clang_O0_exec_static_youtube_results.txt,0.0315
clang_O0_exec_static_youtube_results.txt,0.0298
clang_O0_exec_static_youtube_results.txt,0.0303
clang_O0_exec_static_youtube_results.txt,0.0284
clang_O0_exec_static_youtube_results.txt,0.0289
clang_O0_exec_static_youtube_results.txt,0.0316
clang_O0_exec_static_youtube_results.txt,0.0293
clang_O0_exec_static_youtube_results.txt,0.0312
clang_O0_exec_static_youtube_results.txt,0.0296
clang_O0_exec_static_youtube_results.txt,0.0311
clang_O0_exec_static_youtube_results.txt,0.0297
clang_O1_exec_auto_liveJournal_results.txt,0.0823
clang_O1_exec_auto_liveJournal_results.txt,0.0811
clang_O1_exec_auto_liveJournal_results.txt,0.0825
clang_O1_exec_auto_liveJournal_results.txt,0.0826
clang_O1_exec_auto_liveJournal_results.txt,0.1329
clang_O1_exec_auto_liveJournal_results.txt,0.0861
clang_O1_exec_auto_liveJournal_results.txt,0.0805
clang_O1_exec_auto_liveJournal_results.txt,0.0808
clang_O1_exec_auto_liveJournal_results.txt,0.0884
clang_O1_exec_auto_liveJournal_results.txt,0.0910
clang_O1_exec_auto_liveJournal_results.txt,0.0870
clang_O1_exec_auto_liveJournal_results.txt,0.0828
clang_O1_exec_auto_liveJournal_results.txt,0.0890
clang_O1_exec_auto_liveJournal_results.txt,0.0906
clang_O1_exec_auto_liveJournal_results.txt,0.0819
clang_O1_exec_auto_liveJournal_results.txt,0.0813
clang_O1_exec_auto_liveJournal_results.txt,0.0909
clang_O1_exec_auto_liveJournal_results.txt,0.0814
clang_O1_exec_auto_liveJournal_results.txt,0.0814
clang_O1_exec_auto_liveJournal_results.txt,0.0913
clang_O1_exec_auto_orkut_results.txt,0.1825
clang_O1_exec_auto_orkut_results.txt,0.1810
clang_O1_exec_auto_orkut_results.txt,0.1892
clang_O1_exec_auto_orkut_results.txt,0.1881
clang_O1_exec_auto_orkut_results.txt,0.1892
clang_O1_exec_auto_orkut_results.txt,0.1899
clang_O1_exec_auto_orkut_results.txt,0.1917
clang_O1_exec_auto_orkut_results.txt,0.1927
clang_O1_exec_auto_orkut_results.txt,0.1899
clang_O1_exec_auto_orkut_results.txt,0.1898
clang_O1_exec_auto_orkut_results.txt,0.1812
clang_O1_exec_auto_orkut_results.txt,0.1781
clang_O1_exec_auto_orkut_results.txt,0.1868
clang_O1_exec_auto_orkut_results.txt,0.1933
clang_O1_exec_auto_orkut_results.txt,0.1926
clang_O1_exec_auto_orkut_results.txt,0.1969
clang_O1_exec_auto_orkut_results.txt,0.1984
clang_O1_exec_auto_orkut_results.txt,0.1984
clang_O1_exec_auto_orkut_results.txt,0.2046
clang_O1_exec_auto_orkut_results.txt,0.2038
clang_O1_exec_auto_youtube_results.txt,0.0343
clang_O1_exec_auto_youtube_results.txt,0.0618
clang_O1_exec_auto_youtube_results.txt,0.0185
clang_O1_exec_auto_youtube_results.txt,0.0153
clang_O1_exec_auto_youtube_results.txt,0.0152
